date,dispersion,mean_ratio,range,regime,level_regime
2025-05-15,0.06591639361730298,0.17068454645552225,0.2798400524501338,normal,low
2025-05-16,0.06755033906113217,0.17501531140293225,0.28980465991474125,normal,low
2025-05-19,0.07019386859531884,0.19845510312088144,0.20332965148448895,normal,low
2025-05-20,0.07016994102119255,0.17801973899268425,0.29888357395844406,normal,low
2025-05-21,0.07264235088540995,0.1966330928321661,0.21799707238004046,normal,low
2025-05-22,0.07078109056072662,0.17471743703667078,0.3037081673638414,normal,low
2025-05-23,0.07116986335580491,0.1725181260569495,0.3023300855276559,normal,low
2025-05-27,0.07027720402827253,0.17424664283582578,0.2991894501746253,normal,low
2025-05-28,0.06865821800413789,0.174362127935932,0.289746488976345,normal,low
2025-05-29,0.06521717416020316,0.17366563912750088,0.27197035510149487,normal,low
2025-05-30,0.06245179667630652,0.1727798285363316,0.25408835392080664,normal,low
2025-06-02,0.05044644406326859,0.1887097935612286,0.13973746273418003,normal,low
2025-06-03,0.05787098563593237,0.17122533130222517,0.22132912879316047,normal,low
2025-06-04,0.05619120522624339,0.16743032755871765,0.20464013292313016,converged,low
2025-06-05,0.04163276174964703,0.1798676149859489,0.10529983812896015,converged,low
2025-06-06,0.056851043508049676,0.16649875871120698,0.19498844447380903,converged,low
2025-06-09,0.05514777398849581,0.1626221173301912,0.20577093731926788,converged,low
2025-06-10,0.05452176188165629,0.15802172408252846,0.20535946473388225,converged,low
2025-06-11,0.05703721417525761,0.15818896520154754,0.21040456456159076,converged,low
2025-06-12,0.055773354407582076,0.1551148096881312,0.2153767480901123,converged,low
2025-06-13,0.05664956230608954,0.15238556600833264,0.22285531562187136,converged,low
2025-06-16,0.05280037365473944,0.15496100567401008,0.14860170405785408,converged,low
2025-06-17,0.057232876710229245,0.14600341055447236,0.2198122209078302,normal,low
2025-06-18,0.057329338559267584,0.1441829987650982,0.2176263401066225,normal,low
2025-06-20,0.056748083969043246,0.14246099322995856,0.2146238051227077,normal,low
2025-06-23,0.06236269300787303,0.1383256647443062,0.21610671387465444,normal,low
2025-06-24,0.0605829819712048,0.13939863688550144,0.20199338769311798,normal,low
2025-06-25,0.05405827744018758,0.14464661781368657,0.1914893287126184,converged,low
2025-06-26,0.044595645773119065,0.1566717108210422,0.12697428378540054,converged,low
2025-06-27,0.05471891159270507,0.14985628957210803,0.20112880744977477,converged,low
2025-06-30,0.045698987966352966,0.1649501002395832,0.13588253948606321,converged,low
2025-07-01,0.049375319791667586,0.16874333906240177,0.1426484940173818,converged,low
2025-07-02,0.06900879099309638,0.15868556272091786,0.25010232439273866,converged,low
2025-07-07,0.05572952287389767,0.17407926308268193,0.16223000888151337,converged,low
2025-07-08,0.06008595575922911,0.18727169898408727,0.17625088374960327,normal,low
2025-07-09,0.06417693790551735,0.1919439487068807,0.1830967951729009,normal,low
2025-07-10,0.06730026302730974,0.19769151451300873,0.1893368926908889,normal,low
2025-07-11,0.06848789004847482,0.20339970799212087,0.19752021529802838,normal,mid
